Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.003
Numpy seed: 1835284946, Cupy seed: 1795915461
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 111.44, Accuracy (%): 23.59, Silent labels (%): 11.81, Time (s): 5.23
Train | Epoch 0.2 | Loss: 76.21, Accuracy (%): 49.09, Silent labels (%): 4.59, Time (s): 8.48
Train | Epoch 0.3 | Loss: 63.87, Accuracy (%): 55.96, Silent labels (%): 1.77, Time (s): 11.66
Train | Epoch 0.4 | Loss: 55.76, Accuracy (%): 61.07, Silent labels (%): 0.0, Time (s): 14.8
Train | Epoch 0.5 | Loss: 52.83, Accuracy (%): 63.83, Silent labels (%): 0.0, Time (s): 17.91
Train | Epoch 0.6 | Loss: 50.58, Accuracy (%): 65.53, Silent labels (%): 0.0, Time (s): 20.94
Train | Epoch 0.7 | Loss: 48.96, Accuracy (%): 66.84, Silent labels (%): 0.0, Time (s): 23.95
Train | Epoch 0.8 | Loss: 47.59, Accuracy (%): 67.58, Silent labels (%): 0.0, Time (s): 26.93
Train | Epoch 0.9 | Loss: 46.16, Accuracy (%): 69.14, Silent labels (%): 0.0, Time (s): 29.87
Train | Epoch 1.0 | Loss: 45.3, Accuracy (%): 69.64, Silent labels (%): 0.0, Time (s): 32.8
Test | Epoch 1.0 | Loss: 44.83, Accuracy (%): 69.97, Learning rate: 0.003, Hidden layer 1 spike counts: 410.85, Output layer spike counts: 148.29, Hidden layer 1 silents (%): 1.25, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 344.87, Output layer weights norm: 82.38, Time (s): 2.34
Best accuracy: 69.97%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 44.13, Accuracy (%): 70.52, Silent labels (%): 0.0, Time (s): 3.38
Train | Epoch 1.2 | Loss: 43.27, Accuracy (%): 70.66, Silent labels (%): 0.0, Time (s): 6.23
Train | Epoch 1.3 | Loss: 42.08, Accuracy (%): 72.27, Silent labels (%): 0.0, Time (s): 9.09
Train | Epoch 1.4 | Loss: 41.86, Accuracy (%): 71.59, Silent labels (%): 0.0, Time (s): 11.96
Train | Epoch 1.5 | Loss: 41.03, Accuracy (%): 72.24, Silent labels (%): 0.0, Time (s): 14.78
Train | Epoch 1.6 | Loss: 40.46, Accuracy (%): 72.9, Silent labels (%): 0.0, Time (s): 17.57
Train | Epoch 1.7 | Loss: 40.14, Accuracy (%): 72.39, Silent labels (%): 0.0, Time (s): 20.35
Train | Epoch 1.8 | Loss: 40.1, Accuracy (%): 73.02, Silent labels (%): 0.01, Time (s): 23.09
Train | Epoch 1.9 | Loss: 39.37, Accuracy (%): 73.36, Silent labels (%): 0.01, Time (s): 25.78
Train | Epoch 2.0 | Loss: 39.38, Accuracy (%): 73.13, Silent labels (%): 0.0, Time (s): 28.49
Test | Epoch 2.0 | Loss: 39.38, Accuracy (%): 73.21, Learning rate: 0.003, Hidden layer 1 spike counts: 381.47, Output layer spike counts: 151.65, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 369.17, Output layer weights norm: 85.55, Time (s): 2.22
Best accuracy: 73.21%, Networks save to: best_model
Train | Epoch 2.1 | Loss: 38.42, Accuracy (%): 74.08, Silent labels (%): 0.0, Time (s): 3.16
Train | Epoch 2.2 | Loss: 37.98, Accuracy (%): 74.85, Silent labels (%): 0.0, Time (s): 5.87
Train | Epoch 2.3 | Loss: 37.24, Accuracy (%): 75.16, Silent labels (%): 0.0, Time (s): 8.57
Train | Epoch 2.4 | Loss: 37.37, Accuracy (%): 75.27, Silent labels (%): 0.0, Time (s): 11.31
Train | Epoch 2.5 | Loss: 37.39, Accuracy (%): 74.73, Silent labels (%): 0.0, Time (s): 14.04
Train | Epoch 2.6 | Loss: 36.45, Accuracy (%): 76.08, Silent labels (%): 0.0, Time (s): 16.78
Train | Epoch 2.7 | Loss: 36.72, Accuracy (%): 75.12, Silent labels (%): 0.0, Time (s): 19.5
Train | Epoch 2.8 | Loss: 36.39, Accuracy (%): 75.89, Silent labels (%): 0.0, Time (s): 22.26
Train | Epoch 2.9 | Loss: 35.8, Accuracy (%): 76.23, Silent labels (%): 0.0, Time (s): 25.06
Train | Epoch 3.0 | Loss: 36.13, Accuracy (%): 75.72, Silent labels (%): 0.0, Time (s): 27.85
Test | Epoch 3.0 | Loss: 36.31, Accuracy (%): 75.82, Learning rate: 0.003, Hidden layer 1 spike counts: 382.4, Output layer spike counts: 150.5, Hidden layer 1 silents (%): 0.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 394.51, Output layer weights norm: 88.46, Time (s): 2.29
Best accuracy: 75.82%, Networks save to: best_model
Train | Epoch 3.1 | Loss: 35.64, Accuracy (%): 76.12, Silent labels (%): 0.01, Time (s): 3.22
Train | Epoch 3.2 | Loss: 34.85, Accuracy (%): 77.21, Silent labels (%): 0.01, Time (s): 6.01
Train | Epoch 3.3 | Loss: 35.36, Accuracy (%): 76.68, Silent labels (%): 0.0, Time (s): 8.78
Train | Epoch 3.4 | Loss: 35.08, Accuracy (%): 77.09, Silent labels (%): 0.0, Time (s): 11.61
Train | Epoch 3.5 | Loss: 35.13, Accuracy (%): 76.6, Silent labels (%): 0.01, Time (s): 14.42
Train | Epoch 3.6 | Loss: 34.82, Accuracy (%): 76.98, Silent labels (%): 0.0, Time (s): 17.27
Train | Epoch 3.7 | Loss: 34.45, Accuracy (%): 77.61, Silent labels (%): 0.0, Time (s): 20.12
Train | Epoch 3.8 | Loss: 34.53, Accuracy (%): 77.66, Silent labels (%): 0.0, Time (s): 22.98
Train | Epoch 3.9 | Loss: 34.83, Accuracy (%): 76.69, Silent labels (%): 0.01, Time (s): 25.84
Train | Epoch 4.0 | Loss: 34.59, Accuracy (%): 77.32, Silent labels (%): 0.0, Time (s): 28.73
Test | Epoch 4.0 | Loss: 34.96, Accuracy (%): 76.86, Learning rate: 0.003, Hidden layer 1 spike counts: 394.11, Output layer spike counts: 149.1, Hidden layer 1 silents (%): 0.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 421.14, Output layer weights norm: 91.19, Time (s): 2.4
Best accuracy: 76.86%, Networks save to: best_model
Train | Epoch 4.1 | Loss: 34.02, Accuracy (%): 77.79, Silent labels (%): 0.0, Time (s): 3.04
Train | Epoch 4.2 | Loss: 34.13, Accuracy (%): 78.04, Silent labels (%): 0.01, Time (s): 5.94
Train | Epoch 4.3 | Loss: 33.1, Accuracy (%): 78.59, Silent labels (%): 0.0, Time (s): 8.86
Train | Epoch 4.4 | Loss: 33.53, Accuracy (%): 78.35, Silent labels (%): 0.0, Time (s): 11.82
Train | Epoch 4.5 | Loss: 33.64, Accuracy (%): 78.19, Silent labels (%): 0.0, Time (s): 14.77
Train | Epoch 4.6 | Loss: 33.53, Accuracy (%): 78.42, Silent labels (%): 0.0, Time (s): 17.76
Train | Epoch 4.7 | Loss: 33.2, Accuracy (%): 78.36, Silent labels (%): 0.0, Time (s): 20.76
Train | Epoch 4.8 | Loss: 33.2, Accuracy (%): 78.08, Silent labels (%): 0.01, Time (s): 23.78
Train | Epoch 4.9 | Loss: 33.32, Accuracy (%): 78.03, Silent labels (%): 0.01, Time (s): 26.8
