Using GPU: b'NVIDIA GeForce RTX 2080 Ti'
This network will be trained using DT = 0.005
Numpy seed: 1118289516, Cupy seed: 998927211
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 134.24, Accuracy (%): 22.61, Silent labels (%): 21.11, Time (s): 9.43
Train | Epoch 0.2 | Loss: 76.15, Accuracy (%): 47.6, Silent labels (%): 4.28, Time (s): 13.78
Train | Epoch 0.3 | Loss: 70.27, Accuracy (%): 55.65, Silent labels (%): 4.56, Time (s): 18.02
Train | Epoch 0.4 | Loss: 61.42, Accuracy (%): 59.96, Silent labels (%): 2.29, Time (s): 22.14
Train | Epoch 0.5 | Loss: 58.33, Accuracy (%): 62.72, Silent labels (%): 1.8, Time (s): 26.13
Train | Epoch 0.6 | Loss: 56.17, Accuracy (%): 64.68, Silent labels (%): 2.16, Time (s): 30.01
Train | Epoch 0.7 | Loss: 54.81, Accuracy (%): 65.74, Silent labels (%): 2.2, Time (s): 33.8
Train | Epoch 0.8 | Loss: 53.26, Accuracy (%): 66.85, Silent labels (%): 2.06, Time (s): 37.58
Train | Epoch 0.9 | Loss: 52.31, Accuracy (%): 67.25, Silent labels (%): 2.15, Time (s): 41.3
Train | Epoch 1.0 | Loss: 50.66, Accuracy (%): 68.65, Silent labels (%): 2.11, Time (s): 45.0
Test | Epoch 1.0 | Loss: 50.74, Accuracy (%): 68.24, Learning rate: 0.003, Hidden layer 1 spike counts: 401.04, Output layer spike counts: 146.49, Hidden layer 1 silents (%): 0.0, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 345.18, Output layer weights norm: 82.19, Time (s): 2.94
Best accuracy: 68.24%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 45.94, Accuracy (%): 69.52, Silent labels (%): 0.54, Time (s): 4.18
Train | Epoch 1.2 | Loss: 43.53, Accuracy (%): 70.81, Silent labels (%): 0.0, Time (s): 7.78
Train | Epoch 1.3 | Loss: 42.44, Accuracy (%): 71.62, Silent labels (%): 0.0, Time (s): 11.37
Train | Epoch 1.4 | Loss: 42.17, Accuracy (%): 71.64, Silent labels (%): 0.0, Time (s): 14.95
Train | Epoch 1.5 | Loss: 41.61, Accuracy (%): 72.03, Silent labels (%): 0.0, Time (s): 18.5
Train | Epoch 1.6 | Loss: 40.58, Accuracy (%): 72.35, Silent labels (%): 0.0, Time (s): 22.03
Train | Epoch 1.7 | Loss: 40.28, Accuracy (%): 72.93, Silent labels (%): 0.0, Time (s): 25.55
Train | Epoch 1.8 | Loss: 39.98, Accuracy (%): 73.26, Silent labels (%): 0.0, Time (s): 29.08
Train | Epoch 1.9 | Loss: 39.79, Accuracy (%): 72.72, Silent labels (%): 0.0, Time (s): 32.58
